"ENTITY_CD","ENTITY_NAME","YEAR","NUM_ELL","PER_ELL","NUM_AM_IND","PER_AM_IND","NUM_BLACK","PER_BLACK","NUM_HISP","PER_HISP","NUM_ASIAN","PER_ASIAN","NUM_WHITE","PER_WHITE","NUM_Multi","PER_Multi","NUM_SWD","PER_SWD","NUM_FEMALE","PER_FEMALE","NUM_MALE","PER_MALE","NUM_ECDIS","PER_ECDIS","NUM_MIGRANT","PER_MIGRANT","NUM_HOMELESS","PER_HOMELESS","NUM_FOSTER","PER_FOSTER","NUM_ARMED","PER_ARMED"
"550101040002","HOWARD A HANLON ELEMENTARY SCHOOL","2018","1","0","1","0","0","0","3","1","2","1","211","94","8","4",31,14,108,48,117,52,130,58,0,0,9,4,0,0,0,0
"550101040003","ODESSA-MONTOUR JUNIOR/SENIOR HIGH SCHOOL","2018","0","0","0","0","2","1","5","1","4","1","316","93","12","4",64,19,170,50,169,50,163,48,0,0,9,3,0,0,0,0
"550301060000","WATKINS GLEN CENTRAL SCHOOL DISTRICT","2018","2","0","9","1","13","1","26","3","14","1","943","91","34","3",160,15,502,48,537,52,553,53,0,0,11,1,0,0,0,0
"550301060002","WATKINS GLEN ELEMENTARY SCHOOL","2018","0","0","1","0","1","0","18","3","3","1","476","91","22","4",81,16,262,50,259,50,309,59,0,0,7,1,0,0,0,0
"550301060004","WATKINS GLEN CENTRAL HIGH SCHOOL","2018","2","0","8","2","12","2","8","2","11","2","467","90","12","2",79,15,240,46,278,54,244,47,0,0,4,1,0,0,0,0
"560501040000","SOUTH SENECA CENTRAL SCHOOL DISTRICT","2018","1","0","1","0","10","2","16","2","3","0","622","94","10","2",114,17,342,52,320,48,370,56,0,0,13,2,3,0,0,0
"560501040003","SOUTH SENECA ELEMENTARY SCHOOL","2018","1","0","1","0","3","1","7","2","2","1","269","95","1","0",37,13,138,49,145,51,163,58,0,0,8,3,1,0,0,0
"560501040004","SOUTH SENECA MIDDLE/HIGH SCHOOL","2018","0","0","0","0","7","2","9","2","1","0","353","93","9","2",77,20,204,54,175,46,207,55,0,0,5,1,2,1,0,0
"560603040000","ROMULUS CENTRAL SCHOOL DISTRICT","2018","0","0","1","0","4","1","19","5","0","0","346","87","27","7",58,15,210,53,187,47,238,60,0,0,9,2,1,0,5,1
"560603040001","ROMULUS CENTRAL SCHOOL","2018","0","0","1","0","4","1","19","5","0","0","346","87","27","7",58,15,210,53,187,47,238,60,0,0,9,2,1,0,5,1
"560701060000","SENECA FALLS CENTRAL SCHOOL DISTRICT","2018","18","1","18","1","35","3","62","5","26","2","1053","84","57","5",132,11,606,48,645,52,627,50,0,0,8,1,1,0,3,0
"560701060001","FRANK M KNIGHT ELEMENTARY SCHOOL","2018","4","1","7","2","2","1","9","3","4","1","239","85","20","7",19,7,137,49,144,51,150,53,0,0,0,0,0,0,2,1
"560701060003","MYNDERSE ACADEMY","2018","0","0","6","2","18","5","15","4","5","1","341","87","8","2",45,11,191,49,202,51,173,44,0,0,5,1,1,0,0,0
"560701060004","ELIZABETH CADY STANTON ELEMENTARY SCHOOL","2018","7","3","3","1","5","2","19","7","8","3","227","82","14","5",30,11,127,46,149,54,157,57,0,0,1,0,0,0,0,0
"560701060005","SENECA FALLS MIDDLE SCHOOL","2018","7","2","2","1","10","3","19","6","9","3","246","82","15","5",38,13,151,50,150,50,147,49,0,0,2,1,0,0,1,0
"561006060000","WATERLOO CENTRAL SCHOOL DISTRICT","2018","11","1","3","0","62","4","61","4","14","1","1410","90","17","1",236,15,762,49,805,51,924,59,0,0,47,3,0,0,0,0
"561006060001","WATERLOO HIGH SCHOOL","2018","1","0","2","0","20","4","25","5","2","0","430","89","3","1",87,18,230,48,252,52,261,54,0,0,17,4,0,0,0,0
"561006060002","LA FAYETTE SCHOOL","2018","3","1","0","0","17","5","10","3","5","1","327","90","3","1",53,15,168,46,194,54,229,63,0,0,7,2,0,0,0,0
"561006060003","WATERLOO MIDDLE SCHOOL","2018","4","1","1","0","13","4","16","4","3","1","324","90","3","1",60,17,182,51,178,49,213,59,0,0,9,3,0,0,0,0
"561006060004","SKOI-YASE SCHOOL","2018","3","1","0","0","12","3","10","3","4","1","329","91","8","2",36,10,182,50,181,50,221,61,0,0,14,4,0,0,0,0
"570101040000","ADDISON CENTRAL SCHOOL DISTRICT","2018","3","0","4","0","9","1","8","1","8","1","987","96","14","1",151,15,491,48,539,52,615,60,1,0,3,0,11,1,0,0
"570101040001","TUSCARORA ELEMENTARY SCHOOL","2018","2","0","0","0","5","1","4","1","2","0","455","97","3","1",74,16,213,45,256,55,296,63,1,0,2,0,6,1,0,0
"570101040002","ADDISON HIGH SCHOOL","2018","1","0","4","1","4","1","4","1","6","1","532","95","11","2",77,14,278,50,283,50,319,57,0,0,1,0,5,1,0,0
"570101040003","VALLEY ELEMENTARY SCHOOL","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"570201040000","AVOCA CENTRAL SCHOOL DISTRICT","2018","0","0","0","0","10","2","7","2","0","0","397","93","13","3",48,11,207,48,220,52,246,58,0,0,5,1,1,0,3,1
"570201040002","AVOCA CENTRAL SCHOOL","2018","0","0","0","0","10","2","7","2","0","0","397","93","13","3",48,11,207,48,220,52,246,58,0,0,5,1,1,0,3,1
"570302060000","BATH CENTRAL SCHOOL DISTRICT","2018","3","0","2","0","37","2","24","2","1","0","1416","95","3","0",216,15,722,49,761,51,897,60,2,0,44,3,1,0,0,0
"570302060001","VERNON E WIGHTMAN PRIMARY SCHOOL","2018","2","0","0","0","14","3","7","1","1","0","446","95","1","0",51,11,220,47,249,53,303,65,1,0,15,3,1,0,0,0
