"ENTITY_CD","ENTITY_NAME","YEAR","NUM_FREE_LUNCH","PER_FREE_LUNCH","NUM_REDUCED_LUNCH","PER_REDUCED_LUNCH"
"030501040001","W A OLMSTED ELEMENTARY SCHOOL","2016","227","61","25","7"
"030501040003","HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL","2016","187","48","36","9"
"030601060000","SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT","2016","517","34","139","9"
"030601060001","BROOKSIDE ELEMENTARY SCHOOL","2016","150","41","25","7"
"030601060004","F P DONNELLY SCHOOL","2016","111","41","30","11"
"030601060005","RICHARD T STANK MIDDLE SCHOOL","2016","116","35","29","9"
"030601060006","SUSQUEHANNA VALLEY SENIOR HIGH SCHOOL","2016","140","26","55","10"
"030701060000","CHENANGO VALLEY CENTRAL SCHOOL DISTRICT","2016","571","34","87","5"
"030701060001","CHENANGO VALLEY HIGH SCHOOL","2016","156","29","30","6"
"030701060003","CHENANGO BRIDGE ELEMENTARY SCHOOL","2016","151","39","22","6"
"030701060004","PORT DICKINSON ELEMENTARY SCHOOL","2016","150","39","18","5"
"030701060005","CHENANGO VALLEY MIDDLE SCHOOL","2016","114","32","17","5"
"031101060000","MAINE-ENDWELL CENTRAL SCHOOL DISTRICT","2016","736","31","89","4"
"031101060003","HOMER BRINK SCHOOL","2016","203","31","26","4"
"031101060004","MAINE MEMORIAL SCHOOL","2016","179","43","16","4"
"031101060005","MAINE-ENDWELL MIDDLE SCHOOL","2016","168","31","19","3"
"031101060006","MAINE-ENDWELL SENIOR HIGH SCHOOL","2016","186","25","28","4"
"031301040000","DEPOSIT CENTRAL SCHOOL DISTRICT","2016","279","54","48","9"
"031301040002","DEPOSIT ELEMENTARY SCHOOL","2016","149","56","20","8"
"031301040003","DEPOSIT MIDDLE-SENIOR HIGH SCHOOL","2016","130","52","28","11"
"031401060000","WHITNEY POINT CENTRAL SCHOOL DISTRICT","2016","724","52","117","8"
"031401060002","TIOUGHNIOGA RIVERSIDE ACADEMY","2016","287","55","40","8"
"031401060004","WHITNEY POINT SENIOR HIGH SCHOOL","2016","196","42","44","9"
"031401060005","CARYL E ADAMS PRIMARY SCHOOL","2016","241","58","33","8"
"031501060000","UNION-ENDICOTT CENTRAL SCHOOL DISTRICT","2016","1754","47","174","5"
"031501060001","CHARLES F JOHNSON JR ELEMENTARY SCHOOL","2016","295","72","19","5"
"031501060002","GEORGE F JOHNSON ELEMENTARY SCHOOL","2016","253","43","22","4"
"031501060009","JENNIE F SNAPP MIDDLE SCHOOL","2016","393","47","47","6"
"031501060012","UNION-ENDICOTT HIGH SCHOOL","2016","443","38","64","5"
"031501060013","THOMAS J WATSON SR ELEMENTARY SCHOOL","2016","180","60","10","3"
"031501060014","ANN G MCGUINNESS ELEMENTAR SCHOOL","2016","190","48","12","3"
"031502060000","JOHNSON CITY CENTRAL SCHOOL DISTRICT","2016","1531","61","175","7"
"031502060001","JOHNSON CITY ELEMENTARY/INTERMEDIATE SCHOOL","2016","380","66","41","7"
"031502060003","JOHNSON CITY ELEMENTARY/PRIMARY SCHOOL","2016","363","67","38","7"
"031502060005","JOHNSON CITY MIDDLE SCHOOL","2016","348","61","37","6"
"031502060006","JOHNSON CITY SENIOR HIGH SCHOOL","2016","440","55","59","7"
"031601060000","VESTAL CENTRAL SCHOOL DISTRICT","2016","619","19","95","3"
"031601060021","AFRICAN ROAD ELEMENTARY SCHOOL","2016","56","21","7","3"
"031601060022","CLAYTON AVENUE ELEMENTARY SCHOOL","2016","84","30","9","3"
"031601060023","GLENWOOD ELEMENTARY SCHOOL","2016","58","22","8","3"
"031601060026","TIOGA HILLS ELEMENTARY SCHOOL","2016","48","18","10","4"
"031601060028","VESTAL HILLS ELEMENTARY SCHOOL","2016","68","22","2","1"
"031601060041","VESTAL MIDDLE SCHOOL","2016","149","19","29","4"
"031601060051","VESTAL SENIOR HIGH SCHOOL","2016","156","15","30","3"
"031701060000","WINDSOR CENTRAL SCHOOL DISTRICT","2016","688","43","99","6"
"031701060002","FLOYD BELL ELEMENTARY SCHOOL","2016","125","46","21","8"
"031701060003","C R WEEKS ELEMENTARY SCHOOL","2016","122","53","14","6"
"031701060004","A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL","2016","223","41","41","8"
"031701060007","WINDSOR CENTRAL HIGH SCHOOL","2016","218","40","23","4"
"040204040000","WEST VALLEY CENTRAL SCHOOL DISTRICT","2016","76","31","21","8"
"040204040001","WEST VALLEY CENTRAL SCHOOL","2016","76","31","21","8"
"040302060000","ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT","2016","340","30","60","5"
"040302060001","ALLEGANY-LIMESTONE HIGH SCHOOL","2016","85","24","22","6"
"040302060002","ALLEGANY-LIMESTONE ELEMENTARY SCHOOL","2016","165","35","22","5"
"040302060004","ALLEGANY-LIMESTONE MIDDLE SCHOOL","2016","90","30","16","5"
"040901040000","ELLICOTTVILLE CENTRAL SCHOOL DISTRICT","2016","178","30","26","4"
"040901040001","ELLICOTTVILLE ELEMENTARY SCHOOL","2016","82","31","13","5"
"040901040002","ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL","2016","96","30","13","4"
"041101040000","FRANKLINVILLE CENTRAL SCHOOL DISTRICT","2016","341","52","40","6"
"041101040002","FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL","2016","146","46","27","9"
"041101040003","FRANKLINVILLE ELEMENTARY SCHOOL","2016","195","57","13","4"
"041401040000","HINSDALE CENTRAL SCHOOL DISTRICT","2016","185","45","31","8"
"041401040001","HINSDALE CENTRAL SCHOOL","2016","185","45","31","8"
"042302040000","CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT","2016","387","44","59","7"
"042302040002","CATTARAUGUS-LITTLE VALLEY ELEMENTARY SCHOOL","2016","160","51","21","7"
"042302040003","CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL","2016","129","37","23","7"
"042302040004","CATTARAUGUS-LITTLE VALLEY MIDDLE SCHOOL","2016","98","46","15","7"
"042400010000","OLEAN CITY SCHOOL DISTRICT","2016","1114","54","117","6"
"042400010002","WASHINGTON WEST ELEMENTARY SCHOOL","2016","172","63","17","6"
"042400010004","EAST VIEW ELEMENTARY SCHOOL","2016","230","63","17","5"
"042400010013","OLEAN SENIOR HIGH SCHOOL","2016","359","46","38","5"
"042400010016","OLEAN INTERMEDIATE-MIDDLE SCHOOL","2016","353","53","45","7"
"042801060000","GOWANDA CENTRAL SCHOOL DISTRICT","2016","578","49","107","9"
"042801060001","GOWANDA ELEMENTARY SCHOOL","2016","225","54","43","10"
"042801060005","GOWANDA MIDDLE SCHOOL","2016","190","51","25","7"
"042801060006","GOWANDA HIGH SCHOOL","2016","163","43","39","10"
"042901040000","PORTVILLE CENTRAL SCHOOL DISTRICT","2016","358","38","64","7"
"042901040001","PORTVILLE ELEMENTARY SCHOOL","2016","210","42","36","7"
"042901040002","PORTVILLE JUNIOR-SENIOR HIGH SCHOOL","2016","148","33","28","6"
"043001040000","RANDOLPH CENTRAL SCHOOL DISTRICT","2016","366","42","89","10"
"043001040002","RANDOLPH SENIOR HIGH SCHOOL","2016","158","38","33","8"
"043001040003","G N CHAPMAN ELEMENTARY SCHOOL","2016","208","45","56","12"
"043011020000","RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT","2016","46","28","6","4"
"043011020001","RANDOLPH ACADEMY","2016","39","43","3","3"
"043011020002","RANDOLPH ACADEMYHAMBURG CAMPUS","2016","7","9","3","4"
"043200050000","SALAMANCA CITY SCHOOL DISTRICT","2016","608","50","62","5"
"043200050002","SALAMANCA JUNIOR/SENIOR HIGH SCHOOL","2016","259","51","20","4"
"043200050004","PROSPECT ELEMENTARY SCHOOL","2016","175","41","23","5"
"043200050005","SENECA ELEMENTARY SCHOOL","2016","174","61","19","7"
